Model,Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
BASELINE EMAIL IDS,0.1,0.931875,0.06896551724137931,0.8888888888888888,0.128,1483,108,1,8
BASELINE EMAIL IDS,0.2,0.959375,0.1111111111111111,0.8888888888888888,0.19753086419753085,1527,64,1,8
BASELINE EMAIL IDS,0.3,0.970625,0.14814814814814814,0.8888888888888888,0.25396825396825395,1545,46,1,8
BASELINE EMAIL IDS,0.5,0.9825,0.1935483870967742,0.6666666666666666,0.3,1566,25,3,6
BASELINE EMAIL IDS,0.6,0.986875,0.25,0.6666666666666666,0.36363636363636365,1573,18,3,6
BASELINE EMAIL IDS,0.7,0.99,0.29411764705882354,0.5555555555555556,0.38461538461538464,1579,12,4,5
PRIVACY-AWARE IDS,0.1,0.93375,0.07079646017699115,0.8888888888888888,0.13114754098360656,1486,105,1,8
PRIVACY-AWARE IDS,0.2,0.95875,0.1095890410958904,0.8888888888888888,0.1951219512195122,1526,65,1,8
PRIVACY-AWARE IDS,0.3,0.970625,0.14814814814814814,0.8888888888888888,0.25396825396825395,1545,46,1,8
PRIVACY-AWARE IDS,0.5,0.983125,0.2,0.6666666666666666,0.3076923076923077,1567,24,3,6
PRIVACY-AWARE IDS,0.6,0.9875,0.2608695652173913,0.6666666666666666,0.375,1574,17,3,6
PRIVACY-AWARE IDS,0.7,0.989375,0.25,0.4444444444444444,0.32,1579,12,5,4
